Início da Leitura : Um voo sobre as capitais brasileiras: Região Centro-Oeste
Page : 1 Time : 18/12/2022 15:21:14
Timestamp: 633923515,7146	 X: 472,231674264258 Y:100,797397611632
Timestamp: 633923526,8069	 X: 474,056473714932 Y:101,589372765037
Timestamp: 633923537,0083	 X: 474,396731588711 Y:101,528413654372
Timestamp: 633923550,0815	 X: 475,001643261497 Y:101,333368779206
Timestamp: 633923560,2111	 X: 475,134498931801 Y:101,05706735437
Timestamp: 633923570,8678	 X: 475,131574429423 Y:102,166076180208
Timestamp: 633923582,4364	 X: 475,339869859201 Y:103,299243101499
Timestamp: 633923595,0704	 X: 475,362033913764 Y:104,807379088147
Timestamp: 633923603,7629	 X: 475,322823793769 Y:105,4559704685
Timestamp: 633923615,8527	 X: 475,276441812579 Y:105,215708553279
Timestamp: 633923627,0975	 X: 475,907972131155 Y:105,3526077303
Timestamp: 633923637,148	 X: 476,143553204893 Y:105,142838350578
Timestamp: 633923649,0919	 X: 475,9569617204 Y:105,043940492358
Timestamp: 633923675,1082	 X: 475,942734016331 Y:104,532375004542
Timestamp: 633923682,3987	 X: 476,37844689624 Y:103,534467345226
Timestamp: 633923693,2556	 X: 476,475614901334 Y:102,848642560681
Timestamp: 633923707,0942	 X: 476,695411967828 Y:102,197397159945
Timestamp: 633923715,6607	 X: 476,620137806946 Y:102,169320708297
Timestamp: 633923726,6862	 X: 474,556888380107 Y:101,623590454518
Timestamp: 633923739,1941	 X: 473,340002016237 Y:101,538059103541
Timestamp: 633923749,1712	 X: 473,401487110871 Y:101,332643656427
Timestamp: 633923760,0265	 X: 473,907742750565 Y:101,14923213436
Timestamp: 633923771,1167	 X: 476,276090534936 Y:100,991082932992
Timestamp: 633923782,3105	 X: 477,67702257938 Y:101,770156145461
Timestamp: 633923793,3729	 X: 478,331672262848 Y:103,003169742032
Timestamp: 633923817,1007	 X: 478,051521779799 Y:102,794907836855
Timestamp: 633923826,7541	 X: 478,276066440174 Y:105,019993702773
Timestamp: 633923837,1108	 X: 478,622348512173 Y:104,807935563061
